Name,Cost,year,millage,link
Volkswagen Passat,83 000 злотых,2015 год,139 040 km,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-salon-polska-1-wlasciciel-serwis-aso-automat-vat-23-ID6EGnih.html
Volkswagen Passat,77 200 злотых,2015 год,98 558 km,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-salon-polska-serwis-aso-automat-navi-klimatronic-ID6EGVI6.html
Volkswagen Passat 1.4 TSI BMT Comfortline,65 500 злотых,2015 год,127 000 km,https://www.otomoto.pl/oferta/volkswagen-passat-faktura-vat-kupiony-w-polsce-pierwszy-wlasciciel-tel-661233255-ID6EFqfj.html
Volkswagen Multivan 2.0 BiTDI L1 Highline,99 000 злотых,2011 год,195 000 km,https://www.otomoto.pl/oferta/volkswagen-multivan-stan-bardzo-dobry-ID6EEGDG.html
Volkswagen Tiguan,53 900 злотых,2013 год,225 000 km,https://www.otomoto.pl/oferta/volkswagen-tiguan-tiguan-lift-ID6Ewfkv.html
Volkswagen Touareg 3.0 V6 TDI 4XMot BMT,95 000 злотых,2011 год,180 300 km,https://www.otomoto.pl/oferta/volkswagen-touareg-vw-touareg-r-line-3-0-tdi-ID6EsPrH.html
Volkswagen Golf VII 1.4 TSI BMT Highline,69 000 злотых,2015 год,55 555 km,https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vii-1-4-tsi-bmt-highline-pakiet-r-line-niski-przebieg-ID6EGWSy.html
Volkswagen Multivan,99 700 злотых,2013 год,247 000 km,https://www.otomoto.pl/oferta/volkswagen-multivan-2-0-tdi-170km-z-niemiec-2xklimatronicbogatyjak-nowy-ID6ECWCS.html
Volkswagen Tiguan,50 000 злотых,2013 год,146 212 km,https://www.otomoto.pl/oferta/volkswagen-tiguan-gwarancja-12-miesiecy-darmowa-dostawa-raport-techniczny-online-ID6EFCxj.html
Volkswagen Tiguan,54 000 злотых,2011 год,142 287 km,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0-tsi-serwis-aso-skora-klimatronic-parktronic-ID6EFCwp.html
Volkswagen Tiguan,50 400 злотых,2011 год,170 090 km,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0-tdi-sport-style-4motion-darmowa-dostawa-ID6EGiyD.html
Volkswagen Tiguan 2.0 TDI 4Mot R-Style,51 900 злотых,2010 год,217 460 km,https://www.otomoto.pl/oferta/volkswagen-tiguan-tiguan-2-0tdi-r-line-4-motion-skora-nawi-kamery-full-oplacony-ID6EFBtU.html
Volkswagen CC,68 100 злотых,2014 год,134 650 km,https://www.otomoto.pl/oferta/volkswagen-cc-gwarancja-12-miesiecy-darmowa-dostawa-raport-techniczny-online-ID6EDSWA.html
